Transaction_ID,Store_ID,Store_Type,City,Region,Date,Year,Month,Department,Product,Customer_ID,Customer_Type,Gender,Age,Quantity,Unit_Price,Discount_Percent,Sales,Cost,Profit,Product_Rating,Stock_Quantity,Payment_Method,Order_Status,Sales_Channel,Holiday_Flag
TXN100001,Store_8,Supermarket,Bengaluru,South,30-07-2025,2025,7,Electronics,Headphones,CUST17117,Returning,Male,18,2,2379.5,5,4521.05,3534.05,987,3.7,144,UPI,Completed,Physical Store,0
TXN100002,Store_12,Department Store,Coimbatore,South,30-04-2025,2025,4,Clothing,T-Shirt,CUST16784,New,Male,34,5,745.69,0,3728.45,2322.86,1405.59,4.3,488,Cash,Completed,Physical Store,0
TXN100003,Store_15,Supermarket,Chennai,South,22-01-2024,2024,1,Grocery,Snacks,CUST19144,Returning,Female,42,2,190.25,10,342.45,247.3,95.15,3.5,246,UPI,Completed,Physical Store,0
TXN100004,Store_19,Convenience Store,Salem,South,25-01-2025,2025,1,Sports,Yoga Mat,CUST19663,New,Male,31,4,937.03,10,3373.29,2514.54,858.75,4.2,355,Debit Card,Completed,Physical Store,0
TXN100005,Store_10,Department Store,Pune,West,16-07-2024,2024,7,Sports,Yoga Mat,CUST13013,New,Male,49,1,866.01,0,866.01,665.81,200.2,3.7,80,UPI,Completed,Physical Store,0
TXN100006,Store_3,Supermarket,Hyderabad,South,18-12-2025,2025,12,Sports,Badminton Racket,CUST21511,New,Female,65,2,1458.35,15,2479.19,2264.17,215.02,3.5,212,UPI,Completed,Physical Store,0
TXN100007,Store_13,Convenience Store,Pune,West,18-01-2024,2024,1,Beauty,Shampoo,CUST24989,Returning,Male,45,3,540.73,10,1459.96,1046.56,413.4,3.7,80,UPI,Completed,Physical Store,0
TXN100008,Store_19,Supermarket,Madurai,South,27-01-2024,2024,1,Beauty,Shampoo,CUST10458,New,Male,63,1,522.88,0,522.88,353.78,169.1,3.9,304,Debit Card,Completed,Physical Store,0
TXN100009,Store_11,Supermarket,Madurai,South,04-10-2024,2024,10,Home,Chair,CUST24839,New,Male,62,2,2983.01,5,5667.72,3880.26,1787.46,4,198,Debit Card,Completed,Physical Store,0
TXN100010,Store_20,Supermarket,Delhi,North,08-10-2024,2024,10,Sports,Football,CUST20234,Returning,Female,31,3,1311.4,0,3934.2,2926.34,1007.86,3.8,134,Debit Card,Completed,Physical Store,0
TXN100011,Store_2,Supermarket,Coimbatore,South,02-06-2024,2024,6,Beauty,Soap,CUST11956,New,Female,44,1,81.47,5,77.4,56.04,21.36,3.2,11,UPI,Completed,Physical Store,0
